timestamp,open,high,low,close,volume
2025-01-02 09:30:00,4700.0,4705.0,4695.0,4702.0,100
2025-01-02 09:31:00,4702.0,4708.0,4700.0,4706.0,120
2025-01-02 09:32:00,4706.0,4710.0,4704.0,4708.0,110
2025-01-02 09:33:00,4708.0,4712.0,4706.0,4710.0,130
2025-01-02 09:34:00,4710.0,4715.0,4708.0,4712.0,140
2025-01-02 09:35:00,4712.0,4718.0,4710.0,4715.0,150
2025-01-02 09:36:00,4715.0,4720.0,4712.0,4718.0,160
2025-01-02 09:37:00,4718.0,4722.0,4715.0,4720.0,170
2025-01-02 09:38:00,4720.0,4725.0,4718.0,4722.0,180
2025-01-02 09:39:00,4722.0,4728.0,4720.0,4725.0,190
